5F  U+00A0  # NO-BREAK SPACE
60  U+25C6  # BLACK DIAMOND
61  U+2592  # MEDIUM SHADE
62  U+2409  # SYMBOL FOR HORIZONTAL TABULATION
63  U+240C  # SYMBOL FOR FORM FEED
64  U+240D  # SYMBOL FOR CARRIAGE RETURN
65  U+240A  # SYMBOL FOR LINE FEED
66  U+00B0  # DEGREE SIGN
67  U+00B1  # PLUS-MINUS SIGN
68  U+2424  # SYMBOL FOR NEWLINE
69  U+240B  # SYMBOL FOR VERTICAL TABULATION
6A  U+2518  # BOX DRAWINGS LIGHT UP AND LEFT
6B  U+2510  # BOX DRAWINGS LIGHT DOWN AND LEFT
6C  U+250C  # BOX DRAWINGS LIGHT DOWN AND RIGHT
6D  U+2514  # BOX DRAWINGS LIGHT UP AND RIGHT
6E  U+253C  # BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
6F  U+23BA  # HORIZONTAL SCAN LINE-1
70  U+23BB  # HORIZONTAL SCAN LINE-3
71  U+2500  # BOX DRAWINGS LIGHT HORIZONTAL
72  U+23BC  # HORIZONTAL SCAN LINE-7
73  U+23BD  # HORIZONTAL SCAN LINE-9
74  U+251C  # BOX DRAWINGS LIGHT VERTICAL AND RIGHT
75  U+2524  # BOX DRAWINGS LIGHT VERTICAL AND LEFT
76  U+2534  # BOX DRAWINGS LIGHT UP AND HORIZONTAL
77  U+252C  # BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
78  U+2502  # BOX DRAWINGS LIGHT VERTICAL
79  U+2264  # LESS-THAN OR EQUAL TO
7A  U+2265  # GREATER-THAN OR EQUAL TO
7B  U+03C0  # GREEK SMALL LETTER PI
7C  U+2260  # NOT EQUAL TO
7D  U+00A3  # POUND SIGN
7E  U+00B7  # MIDDLE DOT
