A0  U+00A0  # NO-BREAK SPACE
A1  U+0104  # LATIN CAPITAL LETTER A WITH OGONEK
A2  U+0105  # LATIN SMALL LETTER A WITH OGONEK
A3  U+0141  # LATIN CAPITAL LETTER L WITH STROKE
A4  U+20AC  # EURO SIGN
A5  U+201E  # DOUBLE LOW-9 QUOTATION MARK
A6  U+0160  # LATIN CAPITAL LETTER S WITH CARON
A7  U+00A7  # SECTION SIGN
A8  U+0161  # LATIN SMALL LETTER S WITH CARON
A9  U+00A9  # COPYRIGHT SIGN
AA  U+0218  # LATIN CAPITAL LETTER S WITH COMMA BELOW
AB  U+00AB  # LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
AC  U+0179  # LATIN CAPITAL LETTER Z WITH ACUTE
AD  U+00AD  # SOFT HYPHEN
AE  U+017A  # LATIN SMALL LETTER Z WITH ACUTE
AF  U+017B  # LATIN CAPITAL LETTER Z WITH DOT ABOVE
B0  U+00B0  # DEGREE SIGN
B1  U+00B1  # PLUS-MINUS SIGN
B2  U+010C  # LATIN CAPITAL LETTER C WITH CARON
B3  U+0142  # LATIN SMALL LETTER L WITH STROKE
B4  U+017D  # LATIN CAPITAL LETTER Z WITH CARON
B5  U+201D  # RIGHT DOUBLE QUOTATION MARK
B6  U+00B6  # PILCROW SIGN
B7  U+00B7  # MIDDLE DOT
B8  U+017E  # LATIN SMALL LETTER Z WITH CARON
B9  U+010D  # LATIN SMALL LETTER C WITH CARON
BA  U+0219  # LATIN SMALL LETTER S WITH COMMA BELOW
BB  U+00BB  # RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
BC  U+0152  # LATIN CAPITAL LIGATURE OE
BD  U+0153  # LATIN SMALL LIGATURE OE
BE  U+0178  # LATIN CAPITAL LETTER Y WITH DIAERESIS
BF  U+017C  # LATIN SMALL LETTER Z WITH DOT ABOVE
C0  U+00C0  # LATIN CAPITAL LETTER A WITH GRAVE
C1  U+00C1  # LATIN CAPITAL LETTER A WITH ACUTE
C2  U+00C2  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX
C3  U+0102  # LATIN CAPITAL LETTER A WITH BREVE
C4  U+00C4  # LATIN CAPITAL LETTER A WITH DIAERESIS
C5  U+0106  # LATIN CAPITAL LETTER C WITH ACUTE
C6  U+00C6  # LATIN CAPITAL LETTER AE
C7  U+00C7  # LATIN CAPITAL LETTER C WITH CEDILLA
C8  U+00C8  # LATIN CAPITAL LETTER E WITH GRAVE
C9  U+00C9  # LATIN CAPITAL LETTER E WITH ACUTE
CA  U+00CA  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
CB  U+00CB  # LATIN CAPITAL LETTER E WITH DIAERESIS
CC  U+00CC  # LATIN CAPITAL LETTER I WITH GRAVE
CD  U+00CD  # LATIN CAPITAL LETTER I WITH ACUTE
CE  U+00CE  # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
CF  U+00CF  # LATIN CAPITAL LETTER I WITH DIAERESIS
D0  U+0110  # LATIN CAPITAL LETTER D WITH STROKE
D1  U+0143  # LATIN CAPITAL LETTER N WITH ACUTE
D2  U+00D2  # LATIN CAPITAL LETTER O WITH GRAVE
D3  U+00D3  # LATIN CAPITAL LETTER O WITH ACUTE
D4  U+00D4  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
D5  U+0150  # LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
D6  U+00D6  # LATIN CAPITAL LETTER O WITH DIAERESIS
D7  U+015A  # LATIN CAPITAL LETTER S WITH ACUTE
D8  U+0170  # LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
D9  U+00D9  # LATIN CAPITAL LETTER U WITH GRAVE
DA  U+00DA  # LATIN CAPITAL LETTER U WITH ACUTE
DB  U+00DB  # LATIN CAPITAL LETTER U WITH CIRCUMFLEX
DC  U+00DC  # LATIN CAPITAL LETTER U WITH DIAERESIS
DD  U+0118  # LATIN CAPITAL LETTER E WITH OGONEK
DE  U+021A  # LATIN CAPITAL LETTER T WITH COMMA BELOW
DF  U+00DF  # LATIN SMALL LETTER SHARP S
E0  U+00E0  # LATIN SMALL LETTER A WITH GRAVE
E1  U+00E1  # LATIN SMALL LETTER A WITH ACUTE
E2  U+00E2  # LATIN SMALL LETTER A WITH CIRCUMFLEX
E3  U+0103  # LATIN SMALL LETTER A WITH BREVE
E4  U+00E4  # LATIN SMALL LETTER A WITH DIAERESIS
E5  U+0107  # LATIN SMALL LETTER C WITH ACUTE
E6  U+00E6  # LATIN SMALL LETTER AE
E7  U+00E7  # LATIN SMALL LETTER C WITH CEDILLA
E8  U+00E8  # LATIN SMALL LETTER E WITH GRAVE
E9  U+00E9  # LATIN SMALL LETTER E WITH ACUTE
EA  U+00EA  # LATIN SMALL LETTER E WITH CIRCUMFLEX
EB  U+00EB  # LATIN SMALL LETTER E WITH DIAERESIS
EC  U+00EC  # LATIN SMALL LETTER I WITH GRAVE
ED  U+00ED  # LATIN SMALL LETTER I WITH ACUTE
EE  U+00EE  # LATIN SMALL LETTER I WITH CIRCUMFLEX
EF  U+00EF  # LATIN SMALL LETTER I WITH DIAERESIS
F0  U+0111  # LATIN SMALL LETTER D WITH STROKE
F1  U+0144  # LATIN SMALL LETTER N WITH ACUTE
F2  U+00F2  # LATIN SMALL LETTER O WITH GRAVE
F3  U+00F3  # LATIN SMALL LETTER O WITH ACUTE
F4  U+00F4  # LATIN SMALL LETTER O WITH CIRCUMFLEX
F5  U+0151  # LATIN SMALL LETTER O WITH DOUBLE ACUTE
F6  U+00F6  # LATIN SMALL LETTER O WITH DIAERESIS
F7  U+015B  # LATIN SMALL LETTER S WITH ACUTE
F8  U+0171  # LATIN SMALL LETTER U WITH DOUBLE ACUTE
F9  U+00F9  # LATIN SMALL LETTER U WITH GRAVE
FA  U+00FA  # LATIN SMALL LETTER U WITH ACUTE
FB  U+00FB  # LATIN SMALL LETTER U WITH CIRCUMFLEX
FC  U+00FC  # LATIN SMALL LETTER U WITH DIAERESIS
FD  U+0119  # LATIN SMALL LETTER E WITH OGONEK
FE  U+021B  # LATIN SMALL LETTER T WITH COMMA BELOW
FF  U+00FF  # LATIN SMALL LETTER Y WITH DIAERESIS
